Node,DC,BC,CC,EC
0, 0.08593363051015354, 0.14630592147442917, 0.35334266713335666, 3.3917961722702005e-05
 1, 0.004210004952947003, 2.7832744209034606e-06, 0.2613761408505405, 6.045346134948106e-07
 2, 0.0024764735017335313, 7.595021178512074e-08, 0.26125776397515527, 2.2334609371911963e-07
 3, 0.004210004952947003, 1.6850656559280464e-06, 0.2613761408505405, 6.63564808392105e-07
 4, 0.0024764735017335313, 1.8403320547933104e-07, 0.26125776397515527, 2.2364157028893598e-07
 5, 0.0032194155522535907, 2.205964164092193e-06, 0.2613084837895554, 1.1833221118435212e-06
 6, 0.0014858841010401188, 2.4537760730577472e-08, 0.26119016817593793, 2.1709041695161255e-07
 7, 0.004952947003467063, 0.0001702984836730339, 0.2747686445291236, 2.568510124822488e-05
 8, 0.001981178801386825, 2.7604980821899654e-07, 0.2612239617026782, 2.1973746334830277e-07
 9, 0.014115898959881128, 1.6454236303026905e-05, 0.2620546433902265, 2.214116624486093e-06
 10, 0.0024764735017335313, 4.986739552037655e-08, 0.26125776397515527, 7.70856704409262e-07
 11, 0.00024764735017335313, 0.0, 0.26110572259941806, 2.1031233303459659e-07
 12, 0.00024764735017335313, 0.0, 0.26110572259941806, 2.1031233303459659e-07
 13, 0.007677067855373947, 1.7622717578436846e-06, 0.26161321671525756, 1.1037905475985728e-06
 14, 0.003714710252600297, 5.582871686568508e-07, 0.2613423079412336, 2.3055679294325333e-07
 15, 0.00024764735017335313, 0.0, 0.26110572259941806, 2.1031233303459659e-07
 16, 0.002228826151560178, 1.9979459275532697e-07, 0.2612408617454875, 2.616513592117461e-07
 17, 0.0032194155522535907, 4.1066669000480344e-07, 0.2613084837895554, 2.2774170298520136e-07
 18, 0.00024764735017335313, 0.0, 0.26110572259941806, 2.1031233303459659e-07
 19, 0.00396235760277365, 5.062957964075819e-06, 0.2613592233009709, 2.314909211860284e-07
 20, 0.003714710252600297, 6.793693332142838e-07, 0.2613423079412336, 2.303887574112188e-07
 21, 0.016097077761267953, 0.0009380243844653233, 0.2756125861715924, 2.5965755464539653e-05
 22, 0.0027241208519068845, 6.703002200833232e-07, 0.2612746683921061, 1.0365420550578178e-06
 23, 0.004210004952947003, 6.860348937590618e-06, 0.2613761408505405, 2.3278559554674642e-07
 24, 0.00396235760277365, 1.3673472422981514e-07, 0.2613592233009709, 2.4875636881516764e-07
 25, 0.017087667161961365, 5.38808313945586e-05, 0.26225888160031174, 2.092047740990878e-06
 26, 0.016840019811788013, 1.935436798204632e-05, 0.26224184959085595, 2.3336210782441306e-06
 27, 0.0012382367508667657, 3.067220091322184e-08, 0.2611732746911584, 3.850049336881093e-07
 28, 0.0032194155522535907, 3.812160659244892e-07, 0.2613084837895554, 2.2763281506591423e-07
 29, 0.0032194155522535907, 1.3954817951917517e-06, 0.2613084837895554, 2.927663311548732e-07
 30, 0.004210004952947003, 1.3694627409316544e-06, 0.2613761408505405, 9.629120440105805e-07
 31, 0.005695889053987122, 4.932641252790837e-06, 0.2614776921582594, 1.4530295555049818e-06
 32, 0.0014858841010401188, 0.0, 0.26119016817593793, 2.1726560021384552e-07
 33, 0.0004952947003467063, 0.0, 0.26112260734609416, 2.116271213063482e-07
 34, 0.0012382367508667657, 0.0036020881281963652, 0.3033125516412529, 4.074184547679874e-06
 35, 0.0004952947003467063, 0.0, 0.26112260734609416, 2.117140285304049e-07
 36, 0.0027241208519068845, 2.726417858953052e-08, 0.2612746683921061, 2.3560581097949161e-07
 37, 0.00024764735017335313, 0.0, 0.26110572259941806, 2.1031233303459659e-07
 38, 0.002228826151560178, 7.344481172858835e-07, 0.2612408617454875, 7.219113580673045e-07
 39, 0.003714710252600297, 9.548632622274015e-07, 0.2613423079412336, 4.869308388829611e-07
 40, 0.010896483407627538, 1.3796059569123122e-05, 0.26183374400207493, 1.7851968170490274e-06
 41, 0.005943536404160475, 4.673274954378314e-06, 0.26149462504856885, 2.4300970313809065e-07
 42, 0.0004952947003467063, 0.0, 0.26112260734609416, 2.116271213063482e-07
 43, 0.00024764735017335313, 0.0, 0.26110572259941806, 2.1031233303459659e-07
 44, 0.0014858841010401188, 0.0, 0.26119016817593793, 2.1766131708844217e-07
 45, 0.0029717682020802376, 3.0243457405507097e-07, 0.2612915749967646, 7.728864856656581e-07
 46, 0.0012382367508667657, 0.0, 0.2611732746911584, 2.1603795141193666e-07
 47, 0.0004952947003467063, 0.0, 0.26112260734609416, 2.125764540539659e-07
 48, 0.005448241703813769, 5.29085361854899e-06, 0.26146076146076147, 4.831348837967409e-07
 49, 0.0009905894006934125, 1.8403320547933104e-07, 0.26115638339154057, 2.14282634817095e-07
 50, 0.0027241208519068845, 5.135467952242277e-07, 0.2612746683921061, 4.462823430599779e-07
 51, 0.001733531451213472, 9.201660273966552e-08, 0.2612070638463031, 2.39347477316799e-07
 52, 0.0004952947003467063, 0.0, 0.26112260734609416, 2.116528515949572e-07
 53, 0.007677067855373947, 1.0849233385514972e-05, 0.26161321671525756, 9.315426117405496e-07
 54, 0.001981178801386825, 3.6120168027808387e-07, 0.2612239617026782, 2.5381261955004784e-07
 55, 0.004210004952947003, 1.8160988132495756e-07, 0.2613761408505405, 9.98247031145691e-07
 56, 0.019316493313521546, 0.0010850657064421735, 0.27585735756250856, 2.6366379741395302e-05
 57, 0.003714710252600297, 1.5359027152243021e-06, 0.2613423079412336, 4.2114485257955894e-07
 58, 0.0029717682020802376, 0.08436020590796486, 0.3974018305284913, 0.000589812015498517
 59, 0.0047052996532937095, 7.274796871349583e-07, 0.2614099825208778, 5.18507558363566e-07
 60, 0.001981178801386825, 7.546141619678459e-08, 0.2612239617026782, 7.389823247074874e-07
 61, 0.0007429420505200594, 6.134440182644368e-08, 0.2611394942766604, 2.1309924189850107e-07
 62, 0.0064388311045071814, 2.8660815656610625e-06, 0.26152849740932643, 1.0480310720344272e-06
 63, 0.0014858841010401188, 0.0, 0.26119016817593793, 4.123650334848586e-07
 64, 0.001733531451213472, 1.2821395685548784e-05, 0.2790408403012922, 2.7130656061704034e-07
 65, 0.0029717682020802376, 6.893923913652614e-07, 0.2612915749967646, 6.051887725449036e-07
 66, 0.003714710252600297, 9.542251505382869e-08, 0.2613423079412336, 1.2731710213783296e-06
 67, 0.018821198613174838, 0.0009118520705882054, 0.27581967213114755, 2.6674028086937553e-05
 68, 0.002228826151560178, 1.4722656438346484e-07, 0.2612408617454875, 2.2159655284323772e-07
 69, 0.0024764735017335313, 1.9840927984607338e-07, 0.26125776397515527, 6.001155179628282e-07
 70, 0.0004952947003467063, 0.0, 0.26112260734609416, 2.1168797016997858e-07
 71, 0.0007429420505200594, 0.0, 0.2611394942766604, 2.130793527418472e-07
